


yyyy/mmdd(or -ddd)/hh.h):2024/ 206/14.0UT  geog Lat/Long/Alt= -3.1/ 287.0/   0.0

IRIcor2 is used for topside Ne profile
URSI maps are used for the F2 peak density (NmF2)
foF2 STORM model is turned on 
Shubin2015model is used for F2 peak height (hmF2)
ABT-2009 option is used for the bottomside thickness parameter B0
Scotto-97 no L   option is used for the F1 occurrence probability
foE auroral storm model is turned off
IRI-1990   option is used for D-region
TBT-2012 with solar dependence is used for the electron temperature
Tru-2021 option is used for the ion temperature
RBV10+TBT15 option is used for ion composition
CGM coordinates not computed
auroral boundaries not computed

Peak Densities/cm-3: NmF2=2106405.2   NmF1=      0.0   NmE= 164029.0
Peak Heights/km:     hmF2=   333.94   hmF1=     0.00   hmE=   110.00

Solar Zenith Angle/degree                              47.5
Dip (Magnetic Inclination)/degree                      13.40
Modip (Modified Dip)/degree                            13.17
Solar Sunspot Number (12-months running mean) Rz12    140.4           
Ionospheric-Effective Solar Index IG12                127.5           
Solar radio flux F10.7 (daily)                        183.5           
Solar radio flux F10.7 (81-day average)               183.5           

TEC [1.E16 m-2] is obtained by numerical integration in 1km steps
  from 50 to  1000.0 km. t is the percentage of TEC above the F peak.

-
    H   ELECTRON DENSITY    TEMPERATURES      ION PERCENTAGES[%]*10     1E16m-2
    km    Ne/cm-3 Ne/NmF2 Tn/K  Ti/K  Te/K  O+  N+  H+ He+ O2+ NO+ Clust TEC t/%
   60.0-0.1000E-05-1.000   250   250   250  -1  -1  -1  -1  -1  -1  -1  49.8  58
  590.0 0.2336E+06 0.111  1092  1368  2163 974  20   3   3   0   0  -1  49.8  58
  600.0 0.2100E+06 0.100  1092  1389  2203 974  20   3   3   0   0  -1  49.8  58
  610.0 0.1887E+06 0.090  1092  1415  2243 973  20   3   4   0   0  -1  49.8  58
  620.0 0.1697E+06 0.081  1092  1447  2284 971  21   4   4   0   0  -1  49.8  58
  630.0 0.1527E+06 0.073  1092  1482  2324 970  21   4   4   0   0  -1  49.8  58
  640.0 0.1377E+06 0.065  1092  1518  2364 969  21   5   5   0   0  -1  49.8  58
  650.0 0.1243E+06 0.059  1092  1554  2404 968  21   6   5   0   0  -1  49.8  58
  660.0 0.1124E+06 0.053  1092  1591  2444 966  21   7   6   0   0  -1  49.8  58
  670.0 0.1017E+06 0.048  1092  1627  2484 964  21   8   7   0   0  -1  49.8  58
  680.0 0.9205E+05 0.044  1092  1664  2524 962  21   9   7   0   0  -1  49.8  58
  690.0 0.8316E+05 0.039  1092  1701  2564 960  22  10   8   0   0  -1  49.8  58
  700.0 0.7490E+05 0.036  1092  1737  2604 958  22  12   9   0   0  -1  49.8  58
  710.0 0.6714E+05 0.032  1092  1774  2644 955  22  13  10   0   0  -1  49.8  58
  720.0 0.5985E+05 0.028  1092  1811  2684 952  22  15  11   0   0  -1  49.8  58
  730.0 0.5298E+05 0.025  1092  1848  2724 948  22  18  12   0   0  -1  49.8  58
  740.0 0.4655E+05 0.022  1092  1884  2764 945  22  20  13   0   0  -1  49.8  58
  750.0 0.4061E+05 0.019  1092  1921  2804 940  22  23  14   0   0  -1  49.8  58
  760.0 0.3518E+05 0.017  1092  1958  2844 936  22  26  16   0   0  -1  49.8  58
  770.0 0.3031E+05 0.014  1092  1995  2884 931  22  30  17   0   0  -1  49.8  58
  780.0 0.2601E+05 0.012  1092  2031  2923 925  22  33  19   0   0  -1  49.8  58
  790.0 0.2229E+05 0.011  1092  2068  2962 919  23  38  21   0   0  -1  49.8  58
  800.0 0.1910E+05 0.009  1092  2105  3001 911  23  43  23   0   0  -1  49.8  58
  810.0 0.1641E+05 0.008  1092  2141  3038 904  22  49  25   0   0  -1  49.8  58
  820.0 0.1416E+05 0.007  1092  2178  3075 895  22  55  28   0   0  -1  49.8  58
  830.0 0.1231E+05 0.006  1092  2215  3109 886  22  62  30   0   0  -1  49.8  58
  840.0 0.1079E+05 0.005  1092  2252  3140 876  22  69  33   0   0  -1  49.8  58
  850.0 0.9568E+04 0.005  1092  2288  3169 865  22  78  36   0   0  -1  49.8  58
  860.0 0.8591E+04 0.004  1092  2325  3194 853  22  86  38   0   0  -1  49.8  58
  870.0 0.7829E+04 0.004  1092  2362  3216 841  22  96  41   0   0  -1  49.8  58
  880.0 0.7254E+04 0.003  1092  2399  3236 829  22 105  44   0   0  -1  49.8  58
  890.0 0.6844E+04 0.003  1092  2435  3253 817  22 115  47   0   0  -1  49.8  58
